BARCODE	INDEs	DATE	S.TIME	E.TIME	CYCLE	JOB	RESULT	USER	LOTINFO	MACHINE	SIDE
 	 5074	2020-11-27	10:19:59	10:20:15	   16	5000-001432	GuD	SV	 	KOHYOUNG	T
Component ID	PadID	Height(um)	Volume(%)	 Area(%)	OffsetX(mm)	OffsetY(mm)	     Job	    Spec	Array	PinNumber	  Result	 Barcode	
      1:D1	   42	 174.668	 141.662	 103.001	   0.005	  -0.019	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   43	 173.418	 138.015	 101.073	  -0.003	  -0.030	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	   44	 163.876	 129.956	 100.713	   0.002	  -0.011	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   45	 163.073	 129.252	 100.661	   0.005	  -0.012	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	   46	 165.797	 131.170	 100.475	   0.002	  -0.001	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	   47	 163.621	 130.272	 101.115	   0.003	  -0.003	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	   48	 169.286	 136.964	 102.752	  -0.013	  -0.014	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	   49	 161.569	 131.162	 103.099	   0.003	   0.000	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	   50	 166.619	 134.847	 102.783	   0.008	  -0.006	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   51	 161.887	 130.296	 102.217	   0.000	  -0.020	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	   52	 146.322	 115.719	 100.438	   0.002	  -0.009	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   53	 144.375	 113.416	  99.767	   0.004	  -0.007	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	   54	 150.738	 119.187	 100.418	   0.003	   0.005	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	   55	 148.341	 117.393	 100.504	   0.003	   0.007	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	   56	 158.342	 128.264	 102.876	  -0.009	  -0.003	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	   57	 166.831	 133.760	 101.825	   0.023	   0.002	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	   58	 168.425	 135.732	 102.348	   0.007	   0.009	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   59	 161.980	 130.166	 102.056	   0.000	  -0.010	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	   60	 143.252	 112.979	 100.162	   0.017	   0.003	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   61	 142.082	 112.828	 100.852	   0.010	   0.004	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	   62	 149.581	 119.149	 101.162	   0.014	   0.012	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	   63	 147.929	 118.477	 101.715	   0.012	   0.014	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	   64	 161.746	 131.177	 102.998	  -0.005	   0.011	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	   65	 169.788	 136.861	 102.371	   0.016	   0.003	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	   66	 166.475	 136.464	 104.105	   0.008	   0.007	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   67	 163.043	 132.965	 103.571	   0.016	  -0.019	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	   68	 144.977	 115.092	 100.820	   0.014	   0.002	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   69	 140.780	 112.518	 101.504	   0.012	  -0.002	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	   70	 147.696	 118.400	 101.809	   0.017	   0.005	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	   71	 148.457	 118.697	 101.541	   0.013	   0.011	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	   72	 158.590	 129.344	 103.580	   0.001	  -0.005	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	   73	 168.756	 136.526	 102.745	   0.015	  -0.002	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	   74	 163.633	 134.797	 104.620	   0.018	  -0.005	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   75	 157.712	 130.778	 105.311	   0.009	  -0.022	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	   76	 145.036	 116.113	 101.674	   0.018	  -0.002	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   77	 140.723	 113.024	 102.002	   0.011	  -0.005	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	   78	 150.495	 121.401	 102.448	   0.012	   0.012	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	   79	 149.119	 120.627	 102.734	   0.013	   0.011	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	   80	 161.358	 132.677	 104.426	   0.007	  -0.006	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	   81	 164.824	 137.128	 105.660	   0.017	  -0.010	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	   82	 160.311	 134.084	 106.223	   0.022	  -0.010	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   83	 151.374	 125.442	 105.243	   0.010	  -0.015	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	   84	 142.307	 115.560	 103.130	   0.015	  -0.005	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   85	 138.730	 113.222	 103.649	   0.009	   0.000	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	   86	 148.998	 120.996	 103.132	   0.012	   0.007	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	   87	 147.213	 120.037	 103.555	   0.018	   0.004	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	   88	 151.901	 127.805	 106.854	   0.003	  -0.005	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	   89	 161.211	 132.928	 104.719	   0.017	  -0.011	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	   90	 160.127	 133.566	 105.934	   0.010	  -0.010	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   91	 159.692	 132.598	 105.453	   0.013	  -0.025	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	   92	 138.701	 111.529	 102.120	   0.011	  -0.005	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   93	 137.908	 111.741	 102.903	   0.018	  -0.008	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	   94	 143.403	 115.403	 102.203	   0.016	   0.001	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	   95	 144.210	 116.615	 102.698	   0.019	   0.004	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	   96	 152.877	 127.585	 105.989	   0.002	  -0.010	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	   97	 160.980	 132.265	 104.346	   0.006	  -0.010	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	   98	 161.481	 133.899	 105.308	   0.007	  -0.005	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	   99	 155.274	 127.588	 104.356	   0.004	  -0.021	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	  100	 139.014	 112.199	 102.503	   0.005	  -0.006	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  101	 137.828	 110.698	 102.002	   0.001	  -0.012	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	  102	 144.413	 116.067	 102.071	   0.007	  -0.004	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	  103	 144.675	 116.852	 102.577	   0.012	   0.000	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	  104	 156.265	 130.582	 106.127	  -0.003	  -0.004	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	  105	 159.427	 131.442	 104.707	  -0.002	  -0.014	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	  106	 161.469	 133.782	 105.223	   0.004	  -0.013	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  107	 153.779	 125.989	 104.049	  -0.008	  -0.024	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	  108	 140.236	 111.861	 101.303	  -0.008	  -0.021	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  109	 137.298	 109.750	 101.518	  -0.001	  -0.012	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	  110	 145.853	 116.627	 101.552	   0.002	  -0.006	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	  111	 146.592	 116.944	 101.315	   0.000	  -0.005	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	  112	 154.066	 126.200	 104.030	  -0.009	  -0.021	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	  113	 163.175	 135.279	 105.289	  -0.004	  -0.023	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	  114	 159.769	 132.589	 105.395	  -0.002	  -0.015	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  115	 165.747	 135.986	 104.196	  -0.011	  -0.030	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	  116	 153.419	 123.719	 102.414	  -0.003	  -0.018	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  117	 152.207	 123.071	 102.689	  -0.009	  -0.013	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	  118	 158.558	 127.416	 102.056	  -0.002	  -0.014	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	  119	 161.750	 129.670	 101.813	   0.001	  -0.019	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	  120	 171.343	 140.256	 103.958	  -0.012	  -0.025	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	  121	 160.128	 132.574	 105.147	   0.002	  -0.020	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	  122	 164.067	 135.458	 104.855	   0.011	  -0.019	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  123	 144.886	 119.834	 105.041	  -0.007	  -0.025	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	  124	 144.581	 116.709	 102.517	   0.006	  -0.017	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  125	 138.556	 111.564	 102.260	  -0.002	  -0.020	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	  126	 147.306	 118.725	 102.359	   0.009	  -0.011	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	  127	 145.613	 117.971	 102.891	   0.003	  -0.012	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	  128	 143.942	 118.678	 104.710	  -0.010	  -0.020	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	  129	 160.025	 131.066	 104.018	  -0.003	  -0.022	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	  130	 162.527	 133.342	 104.194	  -0.002	  -0.015	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  131	 149.461	 123.676	 105.090	  -0.009	  -0.017	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	  132	 144.214	 115.137	 101.394	  -0.008	  -0.021	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  133	 137.163	 109.389	 101.284	  -0.012	  -0.021	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	  134	 147.393	 117.908	 101.594	  -0.004	  -0.011	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	  135	 143.473	 114.845	 101.659	  -0.010	  -0.012	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	  136	 150.107	 123.740	 104.692	  -0.029	  -0.010	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	  137	 158.543	 129.033	 103.362	  -0.003	  -0.022	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	  138	 158.713	 130.737	 104.614	   0.001	  -0.015	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  139	 148.662	 121.546	 103.835	  -0.013	  -0.017	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	  140	 137.949	 109.719	 101.011	  -0.010	  -0.022	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  141	 135.845	 108.546	 101.478	  -0.012	  -0.023	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	  142	 144.638	 115.606	 101.508	  -0.004	  -0.015	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	  143	 143.379	 114.663	 101.564	  -0.010	  -0.016	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	  144	 150.526	 122.961	 103.743	  -0.020	  -0.008	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	  145	 159.329	 130.465	 103.993	  -0.014	  -0.025	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	  146	 158.388	 130.354	 104.521	  -0.012	  -0.020	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  147	 148.819	 120.741	 103.039	  -0.013	  -0.019	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	  148	 136.559	 109.240	 101.593	  -0.014	  -0.015	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  149	 133.086	 106.451	 101.583	  -0.019	  -0.014	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	  150	 142.892	 113.823	 101.164	  -0.012	  -0.015	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	  151	 139.669	 111.389	 101.285	  -0.018	  -0.010	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	  152	 148.587	 122.140	 104.395	  -0.019	  -0.002	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	  153	 158.956	 131.965	 105.436	  -0.025	  -0.031	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	  154	 159.493	 131.310	 104.559	  -0.015	  -0.019	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  155	 146.220	 119.789	 104.043	  -0.029	  -0.017	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	  156	 136.895	 109.931	 101.985	  -0.019	  -0.016	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  157	 135.186	 108.742	 102.158	  -0.026	  -0.018	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	  158	 142.674	 114.667	 102.069	  -0.017	  -0.012	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	  159	 139.611	 112.941	 102.739	  -0.029	  -0.011	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	  160	 144.390	 118.963	 104.635	  -0.032	  -0.012	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	  161	 157.235	 129.927	 104.943	  -0.014	  -0.022	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	  162	 155.436	 130.375	 106.524	  -0.020	  -0.016	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  163	 142.194	 118.676	 105.995	  -0.013	  -0.018	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	  164	 134.771	 109.379	 103.073	  -0.015	  -0.011	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  165	 134.209	 108.654	 102.818	  -0.014	  -0.015	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	  166	 142.711	 114.819	 102.178	  -0.012	  -0.010	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	  167	 140.014	 113.018	 102.513	  -0.010	  -0.011	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	  168	 140.121	 117.316	 106.330	  -0.027	  -0.007	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	  169	 158.038	 129.267	 103.880	  -0.008	  -0.021	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	  170	 158.650	 130.186	 104.214	  -0.005	  -0.016	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  171	 140.270	 117.441	 106.331	  -0.013	  -0.015	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	  172	 136.898	 110.288	 102.314	  -0.013	  -0.013	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  173	 132.119	 106.403	 102.280	  -0.010	  -0.011	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	  174	 141.799	 114.090	 102.182	  -0.008	  -0.010	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	  175	 139.984	 112.686	 102.235	  -0.010	  -0.010	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	  176	 140.456	 116.969	 105.763	  -0.020	  -0.006	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	  177	 159.526	 131.574	 104.747	   0.000	  -0.028	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	  178	 159.215	 132.823	 105.948	  -0.004	  -0.023	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  179	 139.871	 114.845	 104.277	  -0.017	  -0.018	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	  180	 141.105	 113.685	 102.321	  -0.003	  -0.016	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  181	 135.808	 109.698	 102.583	  -0.005	  -0.015	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	  182	 142.953	 115.185	 102.330	   0.003	  -0.017	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	  183	 141.072	 114.357	 102.950	  -0.008	  -0.011	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
      1:Q1	  184	 140.829	 116.718	 105.257	  -0.016	  -0.013	C:\Kohyoung\Job\5000-001432.mdb		1	      6	              GOOD		
      1:D1	  185	 157.927	 130.690	 105.096	  -0.006	  -0.021	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:D1	  186	 162.030	 133.982	 105.015	  -0.006	  -0.015	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  187	 146.064	 119.945	 104.291	  -0.011	  -0.021	C:\Kohyoung\Job\5000-001432.mdb		1	      1	              GOOD		
      1:Q1	  188	 141.266	 113.624	 102.149	  -0.006	  -0.015	C:\Kohyoung\Job\5000-001432.mdb		1	      2	              GOOD		
      1:Q1	  189	 135.002	 108.755	 102.308	  -0.009	  -0.010	C:\Kohyoung\Job\5000-001432.mdb		1	      3	              GOOD		
      1:Q1	  190	 144.441	 116.179	 102.151	  -0.006	  -0.009	C:\Kohyoung\Job\5000-001432.mdb		1	      4	              GOOD		
      1:Q1	  191	 141.710	 114.602	 102.706	  -0.005	  -0.009	C:\Kohyoung\Job\5000-001432.mdb		1	      5	              GOOD		
